Year,Month,RecreationVisits,UnitCode
2013,1,11249,ACAD
2013,2,9869,ACAD
2013,3,20631,ACAD
2013,4,47090,ACAD
2013,5,133653,ACAD
2013,6,315791,ACAD
2013,7,555308,ACAD
2013,8,617306,ACAD
2013,9,400400,ACAD
2013,10,94904,ACAD
2013,11,41181,ACAD
2013,12,7540,ACAD
2014,1,10459,ACAD
2014,2,10258,ACAD
2014,3,17502,ACAD
2014,4,57211,ACAD
2014,5,153013,ACAD
2014,6,338845,ACAD
2014,7,561073,ACAD
2014,8,638152,ACAD
2014,9,418173,ACAD
2014,10,313920,ACAD
2014,11,31013,ACAD
2014,12,13510,ACAD
2015,1,12578,ACAD
2015,2,10626,ACAD
2015,3,18062,ACAD
2015,4,63214,ACAD
2015,5,187205,ACAD
2015,6,359661,ACAD
2015,7,606597,ACAD
2015,8,666767,ACAD
2015,9,479320,ACAD
2015,10,344362,ACAD
2015,11,48912,ACAD
2015,12,13880,ACAD
2016,1,17204,ACAD
2016,2,16530,ACAD
2016,3,28121,ACAD
2016,4,94199,ACAD
2016,5,217147,ACAD
2016,6,445410,ACAD
2016,7,696854,ACAD
2016,8,735945,ACAD
2016,9,570434,ACAD
2016,10,412416,ACAD
2016,11,55022,ACAD
2016,12,14111,ACAD
2017,1,15520,ACAD
2017,2,14342,ACAD
2017,3,20936,ACAD
2017,4,85267,ACAD
2017,5,222978,ACAD
2017,6,476191,ACAD
2017,7,743529,ACAD
2017,8,762436,ACAD
2017,9,595388,ACAD
2017,10,507594,ACAD
2017,11,53006,ACAD
2017,12,12084,ACAD
2018,1,11974,ACAD
2018,2,12167,ACAD
2018,3,23756,ACAD
2018,4,72858,ACAD
2018,5,249050,ACAD
2018,6,499163,ACAD
2018,7,759165,ACAD
2018,8,767219,ACAD
2018,9,600397,ACAD
2018,10,488204,ACAD
2018,11,40930,ACAD
2018,12,12692,ACAD
2019,1,8532,ACAD
2019,2,9154,ACAD
2019,3,20161,ACAD
2019,4,68046,ACAD
2019,5,226156,ACAD
2019,6,490720,ACAD
2019,7,756439,ACAD
2019,8,759735,ACAD
2019,9,603273,ACAD
2019,10,436194,ACAD
2019,11,46011,ACAD
2019,12,12865,ACAD
2020,1,12640,ACAD
2020,2,13459,ACAD
2020,3,28539,ACAD
2020,4,55713,ACAD
2020,5,103120,ACAD
2020,6,201156,ACAD
2020,7,493971,ACAD
2020,8,681746,ACAD
2020,9,500320,ACAD
2020,10,480859,ACAD
2020,11,76251,ACAD
2020,12,21260,ACAD
2021,1,20268,ACAD
2021,2,16123,ACAD
2021,3,38060,ACAD
2021,4,110096,ACAD
